comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
"Stop charging me for your trash service. You people are absolute scammers!",1,0,0,0,1,1
"Keep messing with my account, and you'll regret it. I swear I'll sue every one of you!",1,1,0,1,0,0
"Refund my money, you thieves! You can't run a business like this. It's pathetic!",1,0,0,0,1,0
"This is absolute BS. Stop scamming people, or I’ll make you pay!",1,1,0,1,1,0
"Go to hell! Can't believe you idiots are running a bank.",1,1,1,0,1,1
"Sending payment under duress. This is nothing short of robbery. You people make me sick!",1,0,0,0,1,0
"Just do your job, you lazy bums. I hope you all go bankrupt!",1,0,1,0,1,0
"You disgust me! Absolute scum. Don’t ever contact me again!",1,1,0,0,1,1
"Your service is so bad that I’m convinced you’re just ripping people off.",1,0,0,0,1,0
"I hope you idiots get shut down for this incompetence. What a disgrace!",1,0,0,0,1,1
"Refund the money now, or else! This is your last warning.",1,1,0,1,1,0
"I can't believe I'm paying for this garbage. Total ripoff. Thieves!",1,0,1,0,1,0
"You morons can't even process a simple transaction. Get your heads out of your **asses**!",1,0,1,0,1,0
"Fix this mess now, or I’m reporting all of you to the authorities!",1,1,0,1,0,0
"I’ve had enough of your crap! Can’t believe you still have customers.",1,0,1,0,1,0
"You idiots charged me twice! Are you completely incompetent?",1,0,0,0,1,0
"Send the money back right now, or you’ll see what happens!",1,1,0,1,0,0
"I hope your whole operation burns down. Bunch of thieves!",1,1,0,0,1,1
"Just keep stealing people’s money. You’ll get what’s coming!",1,1,0,1,0,0
"I don’t know what kind of scam you’re running, but I’ll find a way to shut you down.",1,1,0,1,1,0
"Go rot in hell. I hope you get shut down for this nonsense.",1,1,1,0,1,1
"You people are complete trash. I wouldn’t trust you with a penny.",1,0,1,0,1,1
"Refund my money NOW. I don’t care what you have to say!",1,0,0,0,1,0
"Every one of you deserves to be fired. This is pure incompetence.",1,0,0,0,1,0
"Are you all brain-dead? You can’t even process a refund?",1,0,0,0,1,0
"This is unacceptable! I’ll ruin your reputation for this.",1,1,0,1,0,0
"If I don’t get my refund, I’m taking legal action against you all.",1,1,0,1,0,0
"I can’t believe I’m wasting time with you crooks!",1,0,0,0,1,0
"Take the money and shove it. I’m done with your trash service.",1,0,1,0,1,0
"This is highway robbery! I won’t rest until I’ve exposed you.",1,1,0,0,0,0
"Shut your scam operation down, you good-for-nothing thieves!",1,0,0,0,1,1
"I hope you all lose your jobs. Absolute scumbags.",1,1,1,0,1,1
"Don’t touch my account again, or I’ll make sure you regret it.",1,1,0,1,0,0
"How do you sleep at night, you parasites? Disgusting.",1,1,0,0,1,1
"None of you should be working in finance. It’s disgraceful!",1,0,0,0,1,0
"Go scam someone else! I’m not falling for your tricks.",1,0,0,0,1,1
"Refund me now, or I’ll make this very public. You’ve been warned!",1,1,0,1,0,0
"You clowns are a joke. Can’t even manage simple transactions.",1,0,0,0,1,0
"I’m going to post about this on every platform. Your reputation is done!",1,1,0,0,0,0
"Scumbags like you shouldn’t be allowed to handle people’s money.",1,1,1,0,1,1
"This is the last straw! I’ll see you in court if you don’t fix this.",1,1,0,1,0,0
"Your customer service is a disgrace. Go back to school!",1,0,0,0,1,0
"Sending payment, but know this: you’ll regret it if you mess up again.",1,1,0,1,0,0
"Crooks! Liars! Scammers! Can’t trust any of you.",1,1,0,0,1,1
"Hope your company goes under. Can’t stand dealing with you.",1,0,1,0,1,0
"Shut down your office and stop robbing people!",1,1,0,1,1,0
"Can’t believe the crap service you provide. Absolute rubbish.",1,0,1,0,1,0
"You can’t be serious. Who hires people like you?",1,0,0,0,1,0
"Fix this NOW! Or there will be consequences.",1,1,0,1,0,0
"Shame on you for scamming people. Scum of the earth!",1,1,0,0,1,1